epoch,train_loss,train_acc,test_acc,epoch_time_sec
1,1.9568421782016754,0.42874,0.9,282.5505061149597
2,1.0631659705328942,0.67346,0.95,280.7497205734253
3,0.9113431445741653,0.71476,0.968,280.5743691921234
4,0.8421156684911251,0.73504,0.97,280.4538333415985
5,0.8004806780302525,0.7462,0.978,280.4116780757904
6,0.7634060786151886,0.75918,0.978,280.3713185787201
7,0.7328015532302856,0.77132,0.976,280.51272106170654
8,0.7096715851718187,0.77728,0.98,281.3946611881256
9,0.6829985017940402,0.78832,0.976,281.09031677246094
10,0.6536624201345443,0.80138,0.978,280.93398118019104
11,0.6255639124605059,0.81112,0.982,280.66697812080383
12,0.5951289278230071,0.82302,0.976,280.0903344154358
13,0.5626626519486309,0.83522,0.978,280.03106451034546
14,0.5286958133296669,0.8466,0.968,280.3306534290314
15,0.49856255623959006,0.85628,0.984,280.88635897636414
16,0.46721187216736376,0.86582,0.978,280.94402027130127
17,0.4349089216863364,0.87658,0.98,280.43947529792786
18,0.4057917766933516,0.88594,0.978,282.8608901500702
19,0.379757638817355,0.89336,0.98,282.16047167778015
20,0.35246799406394363,0.90012,0.98,279.56243109703064
21,0.32524124753113837,0.90904,0.978,279.1931471824646
22,0.30091139965247365,0.91478,0.972,282.0424499511719
