dataset,model,accuracy,precision_macro,recall_macro,f1_macro,auc_macro_ovr,avg_batch_inference_time_sec,model_size_mb
CIFAR10,efficientnet,0.9653,0.9654042583165292,0.9653,0.965293743406342,0.998978572222222,0.0076145554502932,15.336448669433594
CIFAR10,resnet18,0.9518,0.9523082418510798,0.9518,0.9517373765272072,0.9982590944444444,0.002920671012074,42.654579162597656
CIFAR10,simplecnn,0.6392,0.7005916108638729,0.6392,0.6352630189469883,0.9526542111111108,0.0010254086016085,1.4951553344726562
FUNNYBIRDS,efficientnet,0.972,0.973858585858586,0.972,0.9719044581149844,0.9998775510204082,0.0105872750282287,15.53191375732422
FUNNYBIRDS,resnet18,0.966,0.9691363636363636,0.966,0.9660154932786512,0.9997877551020408,0.0024895668029785,42.73285675048828
FUNNYBIRDS,simplecnn,0.964,0.968952380952381,0.964,0.9638554139359092,0.9999142857142858,0.2350266724824905,1.5343704223632812
