model,xai_method,part_overlap_ratio,clutter_leakage_ratio,explanation_runtime_sec
efficientnet,gradcam,0.0870870527199206,0.0488937209124895,0.0544263203938802
efficientnet,lime,0.0565168739350474,0.0773657841865669,0.9070690790812176
efficientnet,shap,0.0596932936598764,0.203988962640828,14.122278642654418
resnet18,gradcam,0.0787619846901146,0.0612509854784974,0.0272389729817708
resnet18,lime,0.0144655527580682,0.0759899290455481,0.9131212671597798
resnet18,shap,0.086263065537499,0.2597912057170469,9.47060468196869
simplecnn,gradcam,0.097656468553699,0.0919572238752829,0.1556292057037353
simplecnn,lime,0.0312136008748505,0.0692886752625823,0.8864032467206319
simplecnn,shap,0.1077172503242542,0.1787734289565372,6.933449335892996
