accuracy,auc_macro_ovr,avg_batch_inference_time_sec,clutter_leakage_ratio,complexity_entropy,complexity_entropy_normalized,dataset,explanation_runtime_sec,f1_macro,faithfulness_deletion_auc,faithfulness_insertion_auc,max_sensitivity,model,model_size_mb,n_xai_samples,paper_deletion_auc,part_overlap_ratio,precision_macro,recall_macro,stability_cosine_sim,xai_method,xai_method_norm,explainability_score
0.9653,0.998978572222222,0.0076145554502932,,10.13829239209493,0.9367105955330968,CIFAR10,0.0366397817929585,0.965293743406342,0.4170714092660624,0.8082625962710762,0.6102512406806151,efficientnet,15.336448669433594,60,0.3738869944028316,,0.9654042583165292,0.9653,0.713007979415771,gradcam,gradcam,55.28409522138891
0.9653,0.998978572222222,0.0075842907634406,,10.61376396814982,0.9806409978080112,CIFAR10,0.6701382517814636,0.965293743406342,0.4515708817074875,0.707842491819747,0.7857364803552628,efficientnet,15.336448669433594,60,0.4568734204460031,,0.9654042583165292,0.9653,0.6990868853198158,lime,lime,44.01637472849355
0.9653,0.998978572222222,0.0074438492710978,,10.442107105255127,0.9647810486123451,CIFAR10,1.6510624210039777,0.965293743406342,0.5528504821972884,0.5676329383702768,0.7841625029842059,efficientnet,15.336448669433594,60,0.2052008207467522,,0.9654042583165292,0.9653,0.8374214082956313,shap,shap,39.837187227637536
0.9518,0.9982590944444444,0.002920671012074,,10.33731648127238,0.9550990939003564,CIFAR10,0.0211986939112345,0.9517373765272072,0.3688101850992105,0.7700717261338439,0.0604471372750898,resnet18,42.654579162597656,60,0.2146853184095919,,0.9523082418510798,0.9518,0.9973845352729162,gradcam,gradcam,66.6806404279048
0.9518,0.9982590944444444,0.0025543663829279,,10.435678148269654,0.9641870558674512,CIFAR10,0.6677857875823975,0.9517373765272072,0.3752578461767984,0.5821671467927291,0.783569972217083,resnet18,42.654579162597656,60,0.3849701842289781,,0.9523082418510798,0.9518,0.7074389006321629,lime,lime,44.58751762726411
0.9518,0.9982590944444444,0.0024951189851608,,10.508076763153076,0.9708762049904436,CIFAR10,1.2113473018010457,0.9517373765272072,0.4050991992244759,0.4654944901436942,0.3637123063206672,resnet18,42.654579162597656,60,0.3054818059188306,,0.9523082418510798,0.9518,0.9526767681042354,shap,shap,48.874625673012716
0.6392,0.9526542111111108,0.0010254086016085,,10.18147546450297,0.9407004233963988,CIFAR10,0.0192422191301981,0.6352630189469883,0.1491361041140883,0.4078995055543723,0.2187429871410131,simplecnn,1.4951553344726562,60,0.1415220273587883,,0.7005916108638729,0.6392,0.9790563129716452,gradcam,gradcam,62.44091607436118
0.6392,0.9526542111111108,0.0009297669505158,,10.02716997464498,0.9264436253372298,CIFAR10,0.6500534772872925,0.6352630189469883,0.2235322201959901,0.3394313345457016,0.9729863420128824,simplecnn,1.4951553344726562,60,0.2152276577433663,,0.7005916108638729,0.6392,0.5412661983321112,lime,lime,40.05170630927202
0.6392,0.9526542111111108,0.001028329800493,,10.494067859649656,0.9695818757448512,CIFAR10,1.1127081950505575,0.6352630189469883,0.2420842945039285,0.2925814641848019,0.3750677992900212,simplecnn,1.4951553344726562,60,0.1554219828156567,,0.7005916108638729,0.6392,0.9561105168528028,shap,shap,49.664430028978785
0.972,0.9998775510204082,0.0105872750282287,0.0488937209124895,10.079891443252563,0.9313147373891268,FUNNYBIRDS,0.0544263203938802,0.9719044581149844,0.1546652166164409,0.8665253727231595,0.8645325397451719,efficientnet,15.53191375732422,60,0.1371762584153515,0.0870870527199206,0.973858585858586,0.972,0.5077488116428464,gradcam,gradcam,61.090423453417856
